County,Area,Date
Kirinyaga,32327375,2015
Kisii,55673122,2015
Kisumu,53911293,2015
Kitui,59824680,2015
Kwale,25728433,2015
Laikipia,21797468,2015
Lamu,3907052,2015
Machakos,72959517,2015
Makueni,61284964,2015
Mandera,7864105,2015
Marsabit,5530144,2015
Meru,66581714,2015
Migori,51621546,2015
Mombasa,25959357,2015
Murang'a,59177998,2015
Nairobi,68209419,2015
Nandi,33981551,2015
Narok,35712817,2015
Nyamira,27736149,2015
Nyandarua,35482025,2015
Nyeri,43424701,2015
Samburu,4272138,2015
Siaya,52760311,2015
Taita Taveta,15586691,2015
Tana River,5287937,2015
Tharaka-Nithi,20883784,2015
Trans Nzoia,32028370,2015
Turkana,11120844,2015
Uasin Gishu,44901841,2015
Vihiga,22758828,2015
Wajir,6137878,2015
West Pokot,15081047,2015
Nakuru,83687333,2015
Baringo,37719047,2020
Bomet,47970587,2020
Bungoma,68170433,2020
Busia,48462874,2020
Elgeyo-Marakwet,23212466,2020
Embu,49254635,2020
Garissa,21252029,2020
Homa Bay,79218813,2020
Isiolo,9005918,2020
Kajiado,55658644,2020
Kakamega,92211409,2020
Kericho,38558747,2020
Kiambu,108097999,2020
Kilifi,50711847,2020
Kirinyaga,37066199,2020
Kisii,67498926,2020
Kisumu,68963644,2020
Kitui,89499684,2020
Kwale,33068021,2020
Laikipia,39080504,2020
Lamu,5108658,2020
Machakos,126765930,2020
Makueni,103385217,2020
Mandera,14132107,2020
Marsabit,9306085,2020
Meru,79720537,2020
Migori,61758393,2020
Mombasa,26643174,2020
Murang'a,74413163,2020
Nairobi,80198107,2020
Nandi,47871335,2020
Narok,61408086,2020
Nyamira,34046586,2020
Nyandarua,53536363,2020
Nyeri,54326494,2020
Samburu,7982291,2020
Siaya,67762198,2020
Taita Taveta,26864098,2020
Tana River,11413688,2020
Tharaka-Nithi,33759326,2020
Trans Nzoia,42738307,2020
Turkana,26097645,2020
Uasin Gishu,66053679,2020
Vihiga,27731268,2020
Wajir,14852951,2020
West Pokot,28340302,2020
Nakuru,118602894,2020
